Date : 2025-02-13 09:21:26
Directory : /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage
Total : 191 files,  5015 codes, 58 comments, 808 blanks, all 5881 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/sections/SectionInstitute/Milestones/index.ts                                                | TypeScript     |          1 |          0 |          1 |          2 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/sections/SectionInstitute/SectionInstitute.module.css                                        | CSS            |          2 |          0 |          1 |          3 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/sections/SectionInstitute/SectionInstitute.tsx                                               | TypeScript JSX |         54 |          0 |          5 |         59 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/sections/SectionInstitute/index.ts                                                           | TypeScript     |          1 |          0 |          1 |          2 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/sections/sections.ts                                                                         | TypeScript     |         14 |          0 |          3 |         17 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/styles.module.css                                                                            | CSS            |         57 |          0 |         10 |         67 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/styles.ts                                                                                    | TypeScript     |          8 |          0 |          8 |         16 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/utils.ts                                                                                     | TypeScript     |         25 |          4 |          6 |         35 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/widgets/CompanyMembers/CompanyMembers.module.css                                             | CSS            |         15 |          0 |          2 |         17 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/widgets/CompanyMembers/CompanyMembers.tsx                                                    | TypeScript JSX |         30 |          1 |          6 |         37 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/widgets/CompanyMembers/TeamMember/TeamMember.module.css                                      | CSS            |         50 |          0 |          8 |         58 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/widgets/CompanyMembers/TeamMember/TeamMember.tsx                                             | TypeScript JSX |         39 |          1 |          7 |         47 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/widgets/CompanyMembers/TeamMember/index.ts                                                   | TypeScript     |          1 |          0 |          1 |          2 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/widgets/CompanyMembers/hook.ts                                                               | TypeScript     |         63 |          0 |          7 |         70 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/widgets/CompanyMembers/index.ts                                                              | TypeScript     |          1 |          0 |          1 |          2 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/widgets/CompanyMembers/types.ts                                                              | TypeScript     |          1 |          0 |          1 |          2 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/widgets/ContributorsPanel/ContributorsList/ContributorsList.module.css                       | CSS            |         48 |          0 |          8 |         56 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/widgets/ContributorsPanel/ContributorsList/ContributorsList.tsx                              | TypeScript JSX |         75 |          0 |          8 |         83 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/widgets/ContributorsPanel/ContributorsList/index.ts                                          | TypeScript     |          1 |          0 |          1 |          2 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/widgets/ContributorsPanel/ContributorsNavigation/ContributorsNavigation.module.css           | CSS            |        124 |          0 |         20 |        144 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/widgets/ContributorsPanel/ContributorsNavigation/ContributorsNavigation.tsx                  | TypeScript JSX |        113 |          1 |         10 |        124 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/widgets/ContributorsPanel/ContributorsNavigation/index.ts                                    | TypeScript     |          1 |          0 |          1 |          2 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/widgets/ContributorsPanel/ContributorsPanel.module.css                                       | CSS            |          0 |          0 |          1 |          1 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/widgets/ContributorsPanel/ContributorsPanel.tsx                                              | TypeScript JSX |         16 |          0 |          4 |         20 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/widgets/ContributorsPanel/data.ts                                                            | TypeScript     |         22 |          0 |          5 |         27 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/widgets/ContributorsPanel/index.ts                                                           | TypeScript     |          1 |          0 |          1 |          2 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/widgets/Email/Email.module.css                                                               | CSS            |          2 |          0 |          1 |          3 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/widgets/Email/Email.tsx                                                                      | TypeScript JSX |         18 |          0 |          6 |         24 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/widgets/Email/index.ts                                                                       | TypeScript     |          1 |          0 |          1 |          2 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/widgets/FromCellToBrain/FromCellToBrain.module.css                                           | CSS            |         42 |          0 |          7 |         49 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/widgets/FromCellToBrain/FromCellToBrain.tsx                                                  | TypeScript JSX |         34 |          0 |          6 |         40 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/widgets/FromCellToBrain/hooks.ts                                                             | TypeScript     |         35 |          0 |          3 |         38 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/widgets/FromCellToBrain/index.ts                                                             | TypeScript     |          1 |          0 |          1 |          2 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/widgets/FromCellToBrain/types.ts                                                             | TypeScript     |         34 |          0 |          5 |         39 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/widgets/Hero/Hero.module.css                                                                 | CSS            |         32 |          0 |          5 |         37 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/widgets/Hero/Hero.tsx                                                                        | TypeScript JSX |         44 |          0 |          8 |         52 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/widgets/Hero/hooks.ts                                                                        | TypeScript     |         49 |          0 |          5 |         54 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/widgets/Hero/index.ts                                                                        | TypeScript     |          1 |          0 |          1 |          2 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/widgets/MissionStatement/MissionStatement.module.css                                         | CSS            |         63 |          0 |          8 |         71 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/widgets/MissionStatement/MissionStatement.tsx                                                | TypeScript JSX |         40 |          1 |          6 |         47 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/widgets/MissionStatement/hooks.ts                                                            | TypeScript     |         38 |          0 |          5 |         43 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/widgets/MissionStatement/index.ts                                                            | TypeScript     |          1 |          0 |          1 |          2 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/widgets/News/News.module.css                                                                 | CSS            |         46 |          0 |          7 |         53 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/widgets/News/News.tsx                                                                        | TypeScript JSX |         92 |          2 |         10 |        104 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/widgets/News/NewsCard/NewsCard.module.css                                                    | CSS            |         65 |          0 |         10 |         75 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/widgets/News/NewsCard/NewsCard.tsx                                                           | TypeScript JSX |         33 |          0 |          6 |         39 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/widgets/News/NewsCard/index.ts                                                               | TypeScript     |          1 |          0 |          1 |          2 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/widgets/News/index.ts                                                                        | TypeScript     |          1 |          0 |          1 |          2 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/widgets/OurFoundations/OurFoundations.module.css                                             | CSS            |        119 |          1 |         19 |        139 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/widgets/OurFoundations/OurFoundations.tsx                                                    | TypeScript JSX |         46 |          0 |          6 |         52 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/widgets/OurFoundations/ToolButton/ToolButton.module.css                                      | CSS            |         19 |          0 |          3 |         22 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/widgets/OurFoundations/ToolButton/ToolButton.tsx                                             | TypeScript JSX |         22 |          5 |          5 |         32 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/widgets/OurFoundations/ToolButton/index.ts                                                   | TypeScript     |          1 |          0 |          1 |          2 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/widgets/OurFoundations/index.ts                                                              | TypeScript     |          1 |          0 |          1 |          2 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/widgets/PortalsPanel/PortalsPanel.module.css                                                 | CSS            |         11 |          0 |          1 |         12 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/widgets/PortalsPanel/PortalsPanel.tsx                                                        | TypeScript JSX |         26 |          0 |          6 |         32 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/widgets/PortalsPanel/card/PortalCard.module.css                                              | CSS            |         95 |          0 |         15 |        110 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/widgets/PortalsPanel/card/PortalCard.tsx                                                     | TypeScript JSX |         30 |          0 |          5 |         35 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/widgets/PortalsPanel/index.ts                                                                | TypeScript     |          1 |          0 |          1 |          2 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/widgets/VirtualLabsPanel/VirtualLabsPanel.module.css                                         | CSS            |         14 |          0 |          2 |         16 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/widgets/VirtualLabsPanel/VirtualLabsPanel.tsx                                                | TypeScript JSX |         24 |          2 |          5 |         31 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/widgets/VirtualLabsPanel/card/card.module.css                                                | CSS            |         76 |          0 |          9 |         85 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/widgets/VirtualLabsPanel/card/card.tsx                                                       | TypeScript JSX |         22 |          3 |          3 |         28 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/widgets/VirtualLabsPanel/card/index.ts                                                       | TypeScript     |          1 |          0 |          1 |          2 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/widgets/VirtualLabsPanel/index.ts                                                            | TypeScript     |          1 |          0 |          1 |          2 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/widgets/index.ts                                                                             | TypeScript     |          6 |          0 |          1 |          7 |
| Total                                                                                                                                                          |                |      5,015 |         58 |        808 |      5,881 |
+----------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
